Year,Total - Percentage,Total - Lower Limit,Total - Upper Limit
2000,6.5,5.7,7.3
2001,7.3,6.6,8.1
2002,7.6,6.9,8.4
2003,8.4,7.7,9.2
2004,8.1,7.4,8.9
2005,8.3,7.7,9.1
2006,8.4,7.5,9.4
2007,10.7,10.1,11.3
2008,10.0,9.3,10.8
2009,9.5,8.7,10.4
2010,10.0,9.3,10.6
2011,10.3,9.6,11.0
2012,10.6,9.9,11.4
2013,10.9,10.1,11.8
2014,10.8,10.1,11.5
2015,11.2,10.3,12.0
2016,10.9,9.9,11.9
2017,11.6,10.6,12.8
2018,12.0,10.9,13.3
2019,11.8,10.8,12.8
2020,12.1,11.0,13.2
2021,11.1,10.1,12.0
2022,13.2,12.2,14.3
