Year,Total - Percentage,Total - Lower Limit,Total - Upper Limit
2000,7.2,6.2,8.2
2001,7.9,7.0,9.0
2002,8.4,7.4,9.4
2003,9.1,8.3,10.0
2004,8.2,7.6,8.9
2005,10.1,9.4,10.8
2006,9.2,8.5,9.9
2007,9.2,8.5,9.9
2008,9.5,8.8,10.3
2009,9.7,8.9,10.6
2010,10.0,9.1,11.0
2011,11.2,10.5,12.0
2012,10.6,9.9,11.3
2013,11.3,10.6,12.0
2014,10.7,10.1,11.4
2015,10.5,9.8,11.2
2016,11.5,10.8,12.2
2017,11.8,11.1,12.6
2018,11.6,10.9,12.3
2019,11.6,10.7,12.5
2020,11.9,10.8,13.1
2021,11.9,11.1,12.8
2022,11.0,10.2,11.8
